PARTICIPANT_ID;SURVEY_NAME;;CREATED_TS ;STARTED_TS ;COMPLETED_TS ;Perf_T;Perf_M;Transform1;Transform2;Transform3;Transform4;Transform5;Transform6;Transform7;P1;P2;P3;P4;P5;P6;P7;P8;P9;Roll1;Roll2;Roll3;Sammarbete1;Sammarbete2;Sammarbete3;Sammarbete4;PT1;PT2;PT3;PT4;PT5;PT6;PT7;;AUTONOMI;KOMPETENS;TILLIT
s979517396;Eftermätning;2022-09-06;2022-09-06;;2022-09-06;3;4;4;3;4;5;3;3;4;1;2;3;2;3;3;2;2;3;2;2;3;3;3;2;2;3;2;1;2;;;;;;;
s125322598;Eftermätning;2022-09-06;2022-09-06;2022-09-06;2022-09-06;3;3;2;5;4;5;4;4;3;3;3;3;3;4;3;2;3;3;3;3;2;4;4;3;3;4;5;2;3;2;4;3;;4;4;4
s979517396;Eftermätning;2022-09-07;2022-09-07;2022-09-07;2022-09-07;3;3;3;3;4;4;4;3;3;2;2;3;2;3;3;3;2;2;2;2;2;3;2;2;2;3;2;1;2;2;3;2;;1;2;2
s399502304;Eftermätning;2022-09-07;2022-09-07;2022-09-07;2022-09-07;3;4;4;4;4;4;3;4;4;4;3;3;3;4;3;3;2;3;3;3;2;3;3;3;3;3;3;3;2;2;4;3;;4;4;3
s310694279;Eftermätning;2022-09-06;2022-09-06;;2022-09-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s888678970;Eftermätning;2022-09-06;2022-09-06;2022-09-06;2022-09-06;2;3;2;3;4;2;4;1;4;1;2;4;3;4;2;3;2;4;1;4;2;1;3;2;5;2;4;2;4;1;3;1;;4;2;4
s422221269;Eftermätning;2022-09-06;2022-09-06;2022-09-06;2022-09-06;3;2;4;5;4;5;4;5;4;5;2;5;2;2;1;2;1;2;2;3;2;3;3;3;1;4;1;2;2;3;3;2;;1;2;2
s632395026;Eftermätning;2022-09-08;2022-09-08;2022-09-08;2022-09-08;3;4;4;5;5;5;5;4;4;5;5;5;5;5;4;5;5;4;4;4;4;4;4;4;4;5;5;1;5;1;5;4;;4;4;4
s923383536;Eftermätning;2022-09-07;2022-09-07;2022-09-07;2022-09-07;4;4;4;4;5;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;1;5;5;;4;4;5
s166744778;Eftermätning;2022-09-07;2022-09-07;;2022-09-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s166744778;Eftermätning;2022-09-07;2022-09-07;2022-09-07;2022-09-07;2;2;5;5;5;5;5;3;2;3;3;3;1;2;1;1;1;2;1;1;1;2;2;2;1;5;1;2;1;2;2;2;;1;1;1
s494748976;Eftermätning;2022-09-11;2022-09-11;2022-09-11;2022-09-11;4;2;4;4;3;4;5;3;3;4;3;4;5;5;5;3;4;4;4;5;3;3;4;3;4;1;4;1;4;1;5;3;;4;4;5
s704011544;Eftermätning;2022-09-07;2022-09-07;2022-09-07;2022-09-07;2;2;3;5;5;5;5;5;5;3;3;3;3;3;3;2;3;3;2;3;3;3;3;3;3;2;3;3;3;2;2;3;;3;3;3
s166744778;Eftermätning;20-Oct-2022 22:43;20-Oct-2022 22:43;;20-Oct-2022 22:44;1;1;5;5;5;4;3;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;
s691725724;Eftermätning;2022-09-07;2022-09-07;2022-09-07;2022-09-07;3;4;3;5;4;5;5;4;4;4;5;5;4;4;3;4;4;3;4;3;4;4;5;4;2;1;4;1;4;1;5;4;;4;3;4
s485981199;Eftermätning;2022-09-06;2022-09-06;2022-09-06;2022-09-06;3;4;4;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;4;5;4;5;4;1;4;1;5;1;5;5;;5;5;5
s310694279;Eftermätning;2022-09-06;2022-09-06;2022-09-06;2022-09-06;3;3;5;4;4;5;5;5;4;1;1;1;1;1;1;1;2;4;4;4;3;1;2;1;3;3;1;3;5;2;2;2;;4;5;2
