PARTICIPANT_ID;CREATED_TS;SCHEDULED_TS;STARTED_TS;COMPLETED_TS;EXPIRED_TS;UPLOADED_TS;TOTAL_RT;SAMTYCKE;COACH;COACH_RT;Säsong som huvudtränare;Tränare utan ass;Huvudansvar med ass;T4;Ass;Delat ledarskap;Transform1;Transform2;Transform3;Transform4;Transform5;Transform6;Transform7;Neurotisism1;Neurotisism2;Neurotisism3;Extrovert1;Extrovert2;Extrovert3;Öppenhet1;Öppenhet2;Öppenhet3;Tillmötesgående1;Tillmötesgående2;Tillmötesgående3;Samvetsgrannhet1;Samvetsgrannhet2;Samvetsgrannhet3;P1;P2;P3;P4;P5;P6;P7;P8;P9
s494748976;2022-06-14;;2022-06-14;2022-06-14;;2022-06-14;2417387;1;DU18;3819;10;0;10;3;4;3;4;5;5;4;5;3;4;2;2;6;3;4;5;5;3;4;2;5;6;6;5;6;4;4;4;5;4;4;4;4;4
s923383536;2022-06-13;;2022-06-13;;;2022-06-13;1921515;1;HU20;3801;13 år;5;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s399502304;2022-06-13;;2022-06-13;2022-06-13;;2022-06-13;570820;1;DU20;4729;40;30;6;6;4;0;4;5;4;4;4;4;5;2;2;6;3;4;5;6;4;5;2;5;6;6;1;6;4;5;4;4;5;4;4;5;5
s422221269;2022-06-14;;2022-06-14;;;2022-06-14;38985;1;HU16;3583;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s125322598;2022-06-14;;2022-06-14;;;2022-06-14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s691725724;2022-06-14;;2022-06-14;;;2022-06-14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s704011544;2022-06-14;;2022-06-14;2022-06-14;;2022-06-14;331161;1;DU18;4493;15;7;2;3;4;Aldrig;5;5;5;5;4;5;5;6;2;7;5;6;6;5;6;7;2;4;7;7;1;6;4;4;4;4;3;4;4;3;4
s063358854;2022-06-14;;2022-06-14;;;2022-06-14;8109;1;HU16;2763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s216877225;2022-06-13;;2022-06-13;2022-06-13;;2022-06-13;1952276;1;HU20;5845;13;4;5;4;10;9;4;4;5;4;3;3;4;1;1;1;3;5;3;4;4;5;3;5;5;5;2;4;3;3;3;4;5;5;4;5;4
s704011544;2022-06-14;;2022-06-14;;;2022-06-14;6517;1;DU18;3330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s923383536;2022-06-14;;2022-06-14;;;2022-06-14;25235;1;HU20;7428;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s722867621;2022-06-13;;2022-06-13;2022-06-13;;2022-06-13;81339;1;HU16;2853;Tio;10;10;10;10;10;2;4;4;2;4;3;3;5;3;2;5;6;7;4;2;5;5;6;6;6;6;6;4;3;4;3;4;3;4;3;4
s704011544;2022-06-14;;2022-06-14;2022-06-14;;2022-06-14;179897;1;DU18;3895;10;6;4;2;3;Aldrig;5;5;5;5;5;5;5;2;7;7;6;6;4;6;6;7;2;3;7;7;1;7;3;3;4;4;4;4;3;3;4
s778049603;2022-06-14;;2022-06-14;2022-06-14;;2022-06-14;338986;1;HU20;2353;15;1;14;11;7;1;3;5;2;5;2;3;3;1;1;7;5;6;4;6;5;3;5;7;7;7;2;6;3;4;3;5;4;4;5;5;5
s125322598;2022-06-13;;2022-06-13;2022-06-13;;2022-06-13;532102;1;DU20;1463;20+ år;I stort sett i 20+ år har jag varit ensam i två eller tre lag.;20+ years;20+ år;20;5-6 säsonger;2;5;5;5;3;4;3;1;2;6;2;3;6;6;5;6;2;6;6;4;4;5;4;5;4;5;4;4;5;5;5
s979517396;2022-06-13;;2022-06-13;;;2022-06-13;4390525;1;HU18;3050;10;10;6;Coach och assisterande coach;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s691725724;2022-06-13;;2022-06-13;2022-06-13;;2022-06-13;683620;1;DU16;4149;31;20;12;12;8;5;3;5;4;4;4;4;4;3;4;4;7;7;2;5;2;4;4;5;6;6;2;6;5;3;4;5;5;5;4;5;5
s166744778;2022-06-13;;2022-06-13;2022-06-13;;2022-06-13;401753;1;HU16;3999;8 säsonger;4 säsonger;4;4;6;1;4;5;5;5;4;4;2;5;3;6;7;7;2;6;6;7;2;7;6;5;3;5;3;5;4;5;3;3;4;5;3
s125322598;2022-06-13;;2022-06-13;;;2022-06-13;29358;1;DU20;2933;Mer än 25 år;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s485981199;2022-06-14;;2022-06-14;2022-06-14;;2022-06-14;303786;1;DU16;2269;20;1;19;19;3;1;5;5;4;5;4;5;4;1;1;6;4;5;1;5;3;5;2;5;6;6;2;6;5;5;5;5;5;5;5;5;5
s979517396;2022-06-13;;2022-06-13;2022-06-13;;2022-06-13;161047;1;HU18;1742;10;10;1;1;4;0;4;3;3;4;4;3;3;7;6;3;7;6;2;2;2;6;6;5;4;3;4;3;4;4;3;5;2;4;5;3;3
s063358854;2022-06-14;;2022-06-14;;;2022-06-14;11601;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s778049603;2022-06-14;;2022-06-14;;;2022-06-14;6759;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s422221269;2022-06-14;;2022-06-14;2022-06-14;;2022-06-14;993133;1;HU16;2871;3;0;3;3;2;0;5;4;5;5;5;5;4;5;4;7;6;6;1;7;7;5;4;7;6;7;2;6;5;4;3;4;4;2;3;4;3
s876443028;2022-06-15;;2022-06-15;;;2022-06-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s216877225;2022-06-14;;2022-06-14;;;2022-06-14;6466;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s218402927;2022-06-13;;2022-06-13;2022-06-13;;2022-06-13;307670;1;DU18;3823;16;7;9;7;4;0;5;5;4;5;4;4;4;3;5;4;5;5;3;5;3;4;3;2;6;6;3;5;4;4;3;4;3;3;2;3;3
s632395026;2022-06-14;;2022-06-14;2022-06-14;;2022-06-14;331981;1;DU16;3737;30;7;10;10;7;6;5;5;5;5;4;4;3;4;4;6;7;7;1;4;3;4;2;6;6;7;1;6;5;5;5;5;5;5;5;5;5
s867750837;2022-06-14;;2022-06-14;2022-06-14;;2022-06-14;589029;1;DU18;2955;15;12;3;3;8;0;4;5;4;4;3;4;4;2;1;7;5;5;4;4;5;6;3;7;7;5;2;5;3;3;2;4;5;4;3;4;4
s839823061;2022-06-14;;2022-06-14;2022-06-14;;2022-06-14;276262;1;DU20;2346;13;8;8;8;7;0;4;4;5;4;4;4;4;2;2;7;7;7;1;5;4;7;2;6;7;6;2;6;5;5;5;3;2;2;4;2;1
s485981199;2022-06-14;;2022-06-14;;;2022-06-14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s691725724;2022-06-14;;2022-06-14;;;2022-06-14;5487;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s970782891;2022-06-13;;2022-06-13;2022-06-13;;2022-06-13;280546;1;DU20;2416;1;0;0;0;1;1;3;5;4;5;3;4;4;1;4;6;4;6;7;3;5;3;3;5;7;7;1;6;4;4;4;3;3;3;4;3;3
s691725724;2022-06-14;;2022-06-14;2022-06-14;;2022-06-14;371270;1;DU16;2501;31;25;8;8;7;2;4;4;4;5;4;4;4;5;5;4;6;6;2;5;2;4;4;4;6;6;2;6;4;3;4;5;5;5;4;5;5
s317049067;2022-06-13;;2022-06-13;2022-06-13;;2022-06-13;363784;1;HU18;4896;35;20;15;4;5;3;4;4;4;5;4;4;4;4;1;6;4;4;2;5;5;5;3;5;6;6;1;6;5;4;5;5;5;5;5;5;5
