PARTICIPANT_ID;PARTICIPANT_TZ;STUDY_ID;STUDY_NAME;STUDY_VERSION;SURVEY_ID;SURVEY_NAME;TRIGGER;EXPORT_TZ;START_END;CREATED_TS;SCHEDULED_TS;STARTED_TS;COMPLETED_TS;EXPIRED_TS;UPLOADED_TS;Perf_T;Perf_M;PXX2;Roll1;Roll12;Roll13;Sammarbete1;Sammarbete2;Sammarbete3;SX4;Sammarbete4;PT1;PT2;PT3;PT4;PT5;PT6;PT7;FBS;AUTONOMI;KOMPETENS;TILLIT;ÖVRIGT;W
s043529047;local;XC3Y_56g8;Delat ledarskap i basketlandslagen;26;_QcJAKsg_;Mätning innan läger;Participant Triggered (completed at any time);Europe/Stockholm;1;6/15/2022 12:41:00; ;6/15/2022 12:41:00;15-Jun-2022 12:46; ;6/15/2022 12:46:00;3;NEJ;<not-shown>;4;4;4;5;5;5;NEJ;<not-shown>;1;4;1;5;1;5;4; ;5;5;5;Nej;Nej
s063358854;Europe/Stockholm;XC3Y_56g8;Delat ledarskap i basketlandslagen;25;_QcJAKsg_;Mätning innan läger;Participant Triggered (completed at any time);Europe/Stockholm;1;6/14/2022 22:32:00; ;6/14/2022 22:32:00; ; ;6/14/2022 22:32:00;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>
s166744778;Europe/Stockholm;XC3Y_56g8;Delat ledarskap i basketlandslagen;25;_QcJAKsg_;Mätning innan läger;Participant Triggered (completed at any time);Europe/Stockholm;1;6/15/2022 8:42:00; ;6/15/2022 8:42:00;15-Jun-2022 08:47; ;6/15/2022 8:47:00;3;NEJ;<not-shown>;1;1;1;2;3;2;JA;2;2;1;2;1;3;2;1; ;2;2;2;Svårt att sammarbeta med en person som bara tar och inte ger något.;Svårt att sammarbeta med en person som bara tar och inte ger något.
s166744778;Europe/Stockholm;XC3Y_56g8;Delat ledarskap i basketlandslagen;25;_QcJAKsg_;Mätning innan läger;Participant Triggered (completed at any time);Europe/Stockholm;1;6/15/2022 8:47:00; ;6/15/2022 8:47:00; ; ;6/15/2022 8:47:00;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>
s166744778;Europe/Stockholm;XC3Y_56g8;Delat ledarskap i basketlandslagen;21;_QcJAKsg_;Mätning innan läger;Participant Triggered (completed at any time);Europe/Stockholm;1;6/14/2022 21:07:00; ;6/14/2022 21:07:00; ; ;6/14/2022 21:07:00;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>
s166744778;Europe/Stockholm;XC3Y_56g8;Delat ledarskap i basketlandslagen;25;_QcJAKsg_;Mätning innan läger;Participant Triggered (completed at any time);Europe/Stockholm;1;6/15/2022 8:48:00; ;6/15/2022 8:48:00;15-Jun-2022 08:50; ;6/15/2022 8:50:00;3;JA;1;1;1;1;1;2;4;JA;1;3;2;4;1;2;3;2; ;1;2;2;Nej;Nej
s218402927;Europe/Stockholm;XC3Y_56g8;Delat ledarskap i basketlandslagen;21;_QcJAKsg_;Mätning innan läger;Participant Triggered (completed at any time);Europe/Stockholm;1;6/14/2022 16:06:00; ;6/14/2022 16:06:00;14-Jun-2022 16:07; ;6/14/2022 16:07:00;4;NEJ;<not-shown>;3;3;4;4;4;4;NEJ;<not-shown>;2;4;1;3;2;1;5; ;4;4;5;Nej;Nej
s310694279;Europe/Stockholm;XC3Y_56g8;Delat ledarskap i basketlandslagen;21;_QcJAKsg_;Mätning innan läger;Participant Triggered (completed at any time);Europe/Stockholm;1;6/14/2022 20:42:00; ;6/14/2022 20:42:00; ; ;6/14/2022 20:43:00;5;NEJ;<not-shown>;4;3;3;4;3;3;NEJ;<not-shown>;1;3;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>
s310694279;Europe/Stockholm;XC3Y_56g8;Delat ledarskap i basketlandslagen;21;_QcJAKsg_;Mätning innan läger;Participant Triggered (completed at any time);Europe/Stockholm;1;6/14/2022 20:36:00; ;6/14/2022 20:36:00;14-Jun-2022 20:41; ;6/14/2022 20:41:00;5;NEJ;<not-shown>;3;4;2;2;3;3;NEJ;<not-shown>;3;4;4;5;3;5;3; ;4;5;3;I staben har vi ännu inte arbetat tillsammans på en samling så jag saknar erfarenheter av hur vi fungerar i praktiken när sp;I staben har vi ännu inte arbetat tillsammans på en samling så jag saknar erfarenheter av hur vi fungerar i praktiken när sp
s317049067;local;XC3Y_56g8;Delat ledarskap i basketlandslagen;25;_QcJAKsg_;Mätning innan läger;Participant Triggered (completed at any time);Europe/Stockholm;1;6/14/2022 22:49:00; ;6/14/2022 22:49:00; ; ;6/14/2022 22:49:00;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>;<no-response>
