variable,human_name,full_question,year_2022,year_2023
participant_id,Coach,Coach,1,1
staff,Stab,Stab,1,1
participate_last_year,Coach förra året,Var du med som coach i landslaget förra året?,0,1
coach_nr_years_head,Antal säsonger som headcoach,Hur många säsonger har du varit baskettränare?,1,1
coach_nr_years_head_alone,Antal säsonger som headcoach utan ass coach,Hur många säsonger har du varit baskettränare med huvudansvar utan att ha assisterande tränare?,1,1
coach_nr_years_head_with_ass,Antal säsonger som headcoach med ass coach,Hur många säsonger har du varit baskettränare med huvudansvar och haft assisterande tränare? ,1,1
coach_nr_years_ass,Antal säsonger som ass coach,Hur många säsonger har du varit assisterande tränare till en annan huvudtränare? ,1,1
coach_nr_years_shared_leadership,Antal säsonger med delat ledarskap,Hur många sästonger har du varit tränare i en stab med delat ledarskap?,1,1
contact_pre,Antal kontakter innan säsong,Hur många gånger har ni i er stab haft kontakt fram till dagens datum?,0,1
contact_post,Antal kontakter under säsong,,0,1
transformational_leadership_1,Jag kommunicerar en tydlig positiv vision om framtiden,Jag kommunicerar en tydlig positiv vision om framtiden,1,1
transformational_leadership_2,"Jag behandlar spelare och kollegor som individer, stöttar och uppmuntrar deras utveckling.","Jag behandlar spelare och kollegor som individer, stöttar och uppmuntrar deras utveckling.",1,1
transformational_leadership_3,Jag uppmuntrar och ger erkännande till spelare och kollegor,Jag uppmuntrar och ger erkännande till spelare och kollegor,1,1
transformational_leadership_4,"Jag premierar tillit, engagemang och samarbete hos mina lagmedlemmar. ","Jag premierar tillit, engagemang och samarbete hos mina lagmedlemmar. ",1,1
transformational_leadership_5,Jag uppmuntrar att tänka på problem utifrån nya perspektiv och ifrågasätter gamla antaganden.,Jag uppmuntrar att tänka på problem utifrån nya perspektiv och ifrågasätter gamla antaganden.,1,1
transformational_leadership_6,Jag är tydlig med mina värderingar och jag lever som jag lär. ,Jag är tydlig med mina värderingar och jag lever som jag lär. ,1,1
transformational_leadership_7,Jag ger stolthet och respekt till andra och inspirerar genom min höga kompetens.,Jag ger stolthet och respekt till andra och inspirerar genom min höga kompetens.,1,1
personality_neurotism_1,Jag ser mig själv som någon som oroar sig mycket.,Jag ser mig själv som någon som oroar sig mycket.,1,1
personality_neurotism_2,Jag ser mig själv som någon som lätt blir nervös.,Jag ser mig själv som någon som lätt blir nervös.,1,1
personality_neurotism_3,Jag ser mig själv som någon som förblir lugn i spända situationer.,Jag ser mig själv som någon som förblir lugn i spända situationer.,1,1
personality_extrovert_1,Jag ser mig själv som någon som är pratsam,Jag ser mig själv som någon som är pratsam,1,1
personality_extrovert_2,Jag ser mig själv som någon som är utåtriktad och sällskaplig.,Jag ser mig själv som någon som är utåtriktad och sällskaplig.,1,1
personality_extrovert_3,Jag ser mig själv som någon som är reserverad.,Jag ser mig själv som någon som är reserverad.,1,1
personality_openness_1,"Jag ser mig själv som någon som är originell, kommer med nya idéer.","Jag ser mig själv som någon som är originell, kommer med nya idéer.",1,1
personality_openness_2,"Jag ser mig själv som någon som värdesätter konstnärliga, estetiska upplevelser.","Jag ser mig själv som någon som värdesätter konstnärliga, estetiska upplevelser.",1,1
personality_openness_3,Jag ser mig själv som någon som har livlig fantasi.,Jag ser mig själv som någon som har livlig fantasi.,1,1
personality_agreeableness_1,Jag ser mig själv som någon som tenderar att hitta fel hos andra.,Jag ser mig själv som någon som tenderar att hitta fel hos andra.,1,1
personality_agreeableness_2,Jag ser mig själv som någon som har en förlåtande läggning.,Jag ser mig själv som någon som har en förlåtande läggning.,1,1
personality_agreeableness_3,Jag ser mig själv som någon som är hjälpsam och osjälvisk mot andra.,Jag ser mig själv som någon som är hjälpsam och osjälvisk mot andra.,1,1
personality_conscientiousness_1,Jag ser mig själv som någon som gör ett grundligt jobb.,Jag ser mig själv som någon som gör ett grundligt jobb.,1,1
personality_conscientiousness_2,Jag ser mig själv som någon som tenderar att vara lat.,Jag ser mig själv som någon som tenderar att vara lat.,1,1
personality_conscientiousness_3,Jag ser mig själv som någon som tenderar att göra saker effektivt.,Jag ser mig själv som någon som tenderar att göra saker effektivt.,1,1
shared_leadership_1,Delat ansvar ökar möjligheten att utveckla varje spelare i landslaget,Delat ansvar ökar möjligheten att utveckla varje spelare i landslaget,1,1
shared_leadership_2,Delat ansvar gör de individuella coacherna bättre.,Delat ansvar gör de individuella coacherna bättre,1,1
shared_leadership_3,Delat ansvar kommer vara bra för utvecklingen av svensk basket.,Delat ansvar kommer vara bra för utvecklingen av svensk basket,1,1
shared_leadership_4,Jag ser fram emot att arbeta med coacherna i min stab.,Jag ser fram emot att arbeta med coacherna i min stab.,1,1
shared_leadership_5,Jag känner tillit till coacherna i min stab.,Jag känner tillit till coacherna i min stab.,1,1
shared_leadership_6,Jag tycker att samarbetet i min stab fungerar bra,Jag tycker att samarbetet i min stab fungerar bra,1,1
shared_leadership_7,Jag tycker att samarbetet i staben gör att vi presterar bättre än vad vi hade gjort om vi hade arbetat individuellt.,Jag tycker att samarbetet staben har gjort att vi presterat bättre än vad vi hade gjort om vi hade arbetat individuellt.,1,1
shared_leadership_8,Jag tycker att rollfördelningen i vår stab fungerar bra.,Jag tycker att rollfördelningen i vår stab har fungera bra.,1,1
shared_leadership_9,Jag har hittat en roll som passar mig i min stab.,Jag har hittat en roll som passar mig i min stab.,1,1
performance_training,Upplevd prestation på träning,På träning tycker jag att vi som lag presterar,1,1
performance_game,Upplevd prestation på match,På match tycker jag att vi som lag presterar,1,1
performance_collaboration,,Hur upplever du att sammarbetet i staben har påverkat lagets prestation som helhet?,0,1
role_1,Min roll i staben är tydlig,Min roll i staben är tydlig,1,0
role_2,Jag är nöjd med min roll i staben,Jag är nöjd med min roll i staben,1,0
role_3,Rollfördelningen i staben fungerar bra för alla coacher,Rollfördelningen i staben fungerar bra för alla coacher,1,0
collaboration_1,Samarbetet i planering kommer fungerar bra,Samarbetet i planering kommer fungera bra,1,0
collaboration_2,Samarbetet i träning fungerar bra,Samarbetet i träning kommer fungera bra,1,0
collaboration_3,Samarbetet i arbetet med spelarrelationer fungerar bra,Samarbetet i arbetet med spelarrelationer kommer fungera bra,1,0
collaboration_4,Samarbetet i staben under match fungerar bra,Samarbetet i staben under match har fungerat bra,1,0
pych_safety_1,Om man gör ett misstag i den här staben läggs det oftast en till last.,Om man gör ett misstag i den här staben läggs det oftast en till last.,1,1
pych_safety_2,Coacherna i den här staben kan ta upp problem och svåra frågor.,Coacherna i den här staben kan ta upp problem och svåra frågor.,1,1
pych_safety_3,Coacherna i det här teamet stöter ibland ut andra för att de är annorlunda,Coacherna i det här teamet stöter ibland ut andra för att de är annorlunda,1,1
pych_safety_4,Det känns tryggt att ta risker i den här staben.,Det känns tryggt att ta risker i den här staben.,1,1
pych_safety_5,Det är svårt att be andra coacher i staben om hjälp.,Det är svårt att be andra coacher i staben om hjälp.,1,1
pych_safety_6,Ingen i den här staben skulle medvetet handla på ett sätt som undergräver mitt arbete.,Ingen i den här staben skulle medvetet handla på ett sätt som undergräver mitt arbete.,1,1
pych_safety_7,I arbetet med spelare i den här staben värdesätter man mina unika förmågor och talanger och använder dem.,I arbetet med spelare i den här staben värdesätter man mina unika förmågor och talanger och använder dem.,1,1
basic_needs_autonomy,I hur stor utsträckning upplever du att du får gehör för dina idéer i din stab?,I hur stor utsträckning upplever du att du får gehör för dina idéer i din stab?,1,1
basic_needs_competence,I hur stor utsträckning upplever du att du har förmågan att vara en bra coach i din stab?,I hur stor utsträckning upplever du att du har förmågan att vara en bra coach i din stab?,1,1
basic_needs_relatedness,I hur stor utsträckning upplever du en känsla av tillhörighet till staben?,I hur stor utsträckning upplever du en känsla av tillhörighet till staben?,1,1
general_experience,,Hur har din generella upplevelse att vara landslagscoach varit denna säsong?,0,1
