participant_id,staff,time,coach_nr_years_head,coach_nr_years_head_alone,coach_nr_years_head_with_ass,coach_nr_years_ass,coach_nr_years_shared_leadership,personality_neurotism,personality_extrovert,personality_openness,personality_agreeableness,personality_conscientiousness,transformational_leadership,shared_leadership,role,collaboration,psych_safety,personality_neurotism_1,personality_neurotism_2,personality_neurotism_3,personality_extrovert_1,personality_extrovert_2,personality_extrovert_3,personality_openness_1,personality_openness_2,personality_openness_3,personality_agreeableness_1,personality_agreeableness_2,personality_agreeableness_3,personality_conscientiousness_1,personality_conscientiousness_2,personality_conscientiousness_3,transformational_leadership_1,transformational_leadership_2,transformational_leadership_3,transformational_leadership_4,transformational_leadership_5,transformational_leadership_6,transformational_leadership_7,shared_leadership_1,shared_leadership_2,shared_leadership_3,shared_leadership_4,shared_leadership_5,shared_leadership_6,shared_leadership_7,shared_leadership_8,shared_leadership_9,performance_training,performance_game,role_1,role_2,role_3,collaboration_1,collaboration_2,collaboration_3,collaboration_4,psych_safety_1,psych_safety_2,psych_safety_3,psych_safety_4,psych_safety_5,psych_safety_6,psych_safety_7,basic_needs_autonomy,basic_needs_competence,basic_needs_relatedness
s043529047,DU16,pre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,4,4,5,5,5,NA,5,4,5,5,5,5,4,5,5,5
s125322598,DU20,pre,20,20,20,20,5,1.6666666666666667,2.3333333333333335,5.666666666666667,6,4.333333333333333,3.857142857142857,4.4,NA,NA,NA,1,2,2,2,3,2,6,5,6,6,6,6,4,4,5,2,5,5,5,3,4,3,4,5,4,5,4,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s166744778,HU16,pre,8,4,4,6,1,3.3333333333333335,6.666666666666667,6.333333333333333,6.333333333333333,5,4.142857142857143,4,1,2.3333333333333335,2.4285714285714284,5,3,2,7,7,6,6,6,7,6,7,6,5,5,5,4,5,5,5,4,4,2,3,5,4,5,3,3,4,5,3,3,NA,1,1,1,1,2,4,NA,3,2,2,1,4,3,2,1,2,2
s216877225,HU20,pre,13,4,5,10,9,3,4.333333333333333,4.333333333333333,5,5,3.857142857142857,3.6,NA,NA,NA,1,1,7,3,5,5,4,4,5,5,5,5,5,6,4,4,4,5,4,3,3,4,3,3,3,4,5,5,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s218402927,DU18,pre,16,7,9,4,0,4,5,4,4.333333333333333,5.333333333333333,4.428571428571429,3.6,3.3333333333333335,4,3.7142857142857144,3,5,4,5,5,5,5,3,4,5,2,6,6,5,5,5,5,4,5,4,4,4,4,4,3,4,3,3,2,3,3,4,NA,3,3,4,4,4,4,NA,4,4,5,3,4,1,5,4,4,5
s310694279,HU16,pre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2.6666666666666665,3.5714285714285716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,4,2,2,3,3,NA,3,4,2,5,3,5,3,4,5,3
s317049067,HU18,pre,35,20,15,5,3,2.3333333333333335,4.666666666666667,5,5.333333333333333,6.333333333333333,4.142857142857143,4.8,4,4.666666666666667,4.428571428571429,4,1,2,4,4,6,5,5,5,5,5,6,6,7,6,4,4,4,5,4,4,4,5,4,5,5,5,5,5,5,5,5,NA,4,4,4,5,5,4,NA,5,4,5,3,5,5,4,4,4,4
s399502304,DU20,pre,40,30,6,4,0,2,3.3333333333333335,5,5.666666666666667,6.333333333333333,4.285714285714286,4.4,4,4,4.428571428571429,2,2,2,3,4,3,6,4,5,6,5,6,6,7,6,4,5,4,4,4,4,5,4,5,4,4,5,4,4,5,5,4,NA,4,4,4,4,4,4,NA,5,4,5,3,5,5,4,4,4,4
s422221269,HU16,pre,3,0,3,2,0,3.3333333333333335,6.333333333333333,6.333333333333333,5.666666666666667,6.333333333333333,4.714285714285714,4,1,2.3333333333333335,2.7142857142857144,5,4,1,6,6,7,7,7,5,4,7,6,7,6,6,5,4,5,5,5,5,4,5,4,3,4,4,2,3,4,3,3,NA,1,1,1,2,2,3,NA,3,2,4,2,3,2,3,2,3,3
s485981199,DU16,pre,20,1,19,3,1,1.3333333333333333,5.333333333333333,4.333333333333333,5.666666666666667,6,4.571428571428571,5,5,5,5,1,1,2,4,5,7,5,3,5,6,5,6,6,6,6,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,4,NA,5,5,5,5,5,5,NA,5,5,5,5,5,5,5,5,5,5
