participant_id;staff;time;coach_nr_years_head;coach_nr_years_head_alone;coach_nr_years_head_with_ass;coach_nr_years_ass;coach_nr_years_shared_leadership;personality_neurotism;personality_extrovert;personality_openness;personality_agreeableness;personality_conscientiousness;transformational_leadership;shared_leadership_general;shared_leadership_specific;role;collaboration;psych_safety;personality_neurotism_1;personality_neurotism_2;personality_neurotism_3;personality_extrovert_1;personality_extrovert_2;personality_extrovert_3;personality_openness_1;personality_openness_2;personality_openness_3;personality_agreeableness_1;personality_agreeableness_2;personality_agreeableness_3;personality_conscientiousness_1;personality_conscientiousness_2;personality_conscientiousness_3;transformational_leadership_1;transformational_leadership_2;transformational_leadership_3;transformational_leadership_4;transformational_leadership_5;transformational_leadership_6;transformational_leadership_7;shared_leadership_1;shared_leadership_2;shared_leadership_3;shared_leadership_4;shared_leadership_5;shared_leadership_6;shared_leadership_7;shared_leadership_8;shared_leadership_9;performance_training;performance_game;role_1;role_2;role_3;collaboration_1;collaboration_2;collaboration_3;collaboration_4;psych_safety_1;psych_safety_2;psych_safety_3;psych_safety_4;psych_safety_5;psych_safety_6;psych_safety_7;basic_needs_autonomy;basic_needs_competence;basic_needs_relatedness;transformational_leadership_change;transformational_leadership_1_change;transformational_leadership_2_change;transformational_leadership_3_change;transformational_leadership_4_change;transformational_leadership_5_change;transformational_leadership_6_change;transformational_leadership_7_change;shared_leadership_general_change;shared_leadership_specific_change;shared_leadership_1_change;shared_leadership_2_change;shared_leadership_3_change;shared_leadership_4_change;shared_leadership_5_change;shared_leadership_6_change;shared_leadership_7_change;shared_leadership_8_change;shared_leadership_9_change;role_change;role_1_change;role_2_change;role_3_change;collaboration_change;collaboration_1_change;collaboration_2_change;collaboration_3_change;collaboration_4_change;psych_safety_change;psych_safety_1_change;psych_safety_2_change;psych_safety_3_change;psych_safety_4_change;psych_safety_5_change;psych_safety_6_change;psych_safety_7_change;performance_training_change;performance_game_change;basic_needs_autonomy_change;basic_needs_competence_change;basic_needs_relatedness_change;transformational_leadership_change_cat;transformational_leadership_1_change_cat;transformational_leadership_2_change_cat;transformational_leadership_3_change_cat;transformational_leadership_4_change_cat;transformational_leadership_5_change_cat;transformational_leadership_6_change_cat;transformational_leadership_7_change_cat;shared_leadership_general_change_cat;shared_leadership_specific_change_cat;shared_leadership_1_change_cat;shared_leadership_2_change_cat;shared_leadership_3_change_cat;shared_leadership_4_change_cat;shared_leadership_5_change_cat;shared_leadership_6_change_cat;shared_leadership_7_change_cat;shared_leadership_8_change_cat;shared_leadership_9_change_cat;role_change_cat;role_1_change_cat;role_2_change_cat;role_3_change_cat;collaboration_change_cat;collaboration_1_change_cat;collaboration_2_change_cat;collaboration_3_change_cat;collaboration_4_change_cat;psych_safety_change_cat;psych_safety_1_change_cat;psych_safety_2_change_cat;psych_safety_3_change_cat;psych_safety_4_change_cat;psych_safety_5_change_cat;psych_safety_6_change_cat;psych_safety_7_change_cat;performance_training_change_cat;performance_game_change_cat;basic_needs_autonomy_change_cat;basic_needs_competence_change_cat;basic_needs_relatedness_change_cat
s043529047;DU16;Innan säsong;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,00000000000000;5,00000000000000;4,71428571428571;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;4;4;4;5;5;5;NA;5;4;5;5;5;5;4;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
s043529047;DU16;Efter säsong;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
s125322598;DU20;Innan säsong;20;20;20;20;5;1,66666666666667;2,33333333333333;5,66666666666667;6,00000000000000;4,33333333333333;3,85714285714286;4,33333333333333;4,66666666666667;NA;NA;NA;1;2;2;2;3;2;6;5;6;6;6;6;4;4;5;2;5;5;5;3;4;3;4;5;4;5;4;4;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,000000000000000;0;0;-1;0;1;0;0;-1,333333333333333;-1,666666666666667;-1;-2;-1;-2;0;-1;-3;-2;-2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Höjning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
s125322598;DU20;Efter säsong;20;20;20;20;5;1,66666666666667;2,33333333333333;5,66666666666667;6,00000000000000;4,33333333333333;3,85714285714286;3,00000000000000;3,00000000000000;2,66666666666667;3,66666666666667;3,57142857142857;1;2;2;2;3;2;6;5;6;6;6;6;4;4;5;2;5;4;5;4;4;3;3;3;3;3;4;3;2;3;3;3;3;3;3;2;4;4;3;3;2;5;4;3;4;4;3;4;4;4;0,000000000000000;0;0;-1;0;1;0;0;-1,333333333333333;-1,666666666666667;-1;-2;-1;-2;0;-1;-3;-2;-2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Höjning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
s166744778;HU16;Innan säsong;8;4;4;6;1;3,33333333333333;6,66666666666667;6,33333333333333;6,33333333333333;5,00000000000000;4,14285714285714;4,00000000000000;3,83333333333333;1,00000000000000;2,33333333333333;2,42857142857143;5;3;2;7;7;6;6;6;7;6;7;6;5;5;5;4;5;5;5;4;4;2;3;5;4;5;3;3;4;5;3;3;NA;1;1;1;1;2;4;NA;3;2;2;1;4;3;2;1;2;2;0,142857142857142;1;0;0;0;1;-1;0;-1,000000000000000;-2,500000000000000;0;-2;-1;-4;-1;-2;-3;-4;-1;0,000000000000000;0;0;0;-0,333333333333333;1;0;-2;NA;-0,285714285714286;-2;-1;2;0;0;-1;0;-1;NA;0;-1;-1;Sänkning;Höjning;Sänkning;Sänkning;Sänkning;Höjning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Höjning;Sänkning;Sänkning;NA;Sänkning;Sänkning;Sänkning;Höjning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;NA;Sänkning;Sänkning;Sänkning
s166744778;HU16;Efter säsong;8;4;4;6;1;3,33333333333333;6,66666666666667;6,33333333333333;6,33333333333333;5,00000000000000;4,28571428571429;3,00000000000000;1,33333333333333;1,00000000000000;2,00000000000000;2,14285714285714;5;3;2;7;7;6;6;6;7;6;7;6;5;5;5;5;5;5;5;5;3;2;3;3;3;1;2;1;1;1;2;2;2;1;1;1;2;2;2;1;1;1;4;1;4;2;2;1;1;1;0,142857142857142;1;0;0;0;1;-1;0;-1,000000000000000;-2,500000000000000;0;-2;-1;-4;-1;-2;-3;-4;-1;0,000000000000000;0;0;0;-0,333333333333333;1;0;-2;NA;-0,285714285714286;-2;-1;2;0;0;-1;0;-1;NA;0;-1;-1;Sänkning;Höjning;Sänkning;Sänkning;Sänkning;Höjning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;Höjning;Sänkning;Sänkning;NA;Sänkning;Sänkning;Sänkning;Höjning;Sänkning;Sänkning;Sänkning;Sänkning;Sänkning;NA;Sänkning;Sänkning;Sänkning
s216877225;HU20;Innan säsong;13;4;5;10;9;3,00000000000000;4,33333333333333;4,33333333333333;5,00000000000000;5,00000000000000;3,85714285714286;3,00000000000000;4,50000000000000;NA;NA;NA;1;1;7;3;5;5;4;4;5;5;5;5;5;6;4;4;4;5;4;3;3;4;3;3;3;4;5;5;4;5;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
s216877225;HU20;Efter säsong;13;4;5;10;9;3,00000000000000;4,33333333333333;4,33333333333333;5,00000000000000;5,00000000000000;NA;NA;NA;NA;NA;NA;1;1;7;3;5;5;4;4;5;5;5;5;5;6;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
s218402927;DU18;Innan säsong;16;7;9;4;0;4,00000000000000;5,00000000000000;4,00000000000000;4,33333333333333;5,33333333333333;4,42857142857143;3,66666666666667;3,00000000000000;3,33333333333333;4,00000000000000;3,71428571428571;3;5;4;5;5;5;5;3;4;5;2;6;6;5;5;5;5;4;5;4;4;4;4;4;3;4;3;3;2;3;3;4;NA;3;3;4;4;4;4;NA;4;4;5;3;4;1;5;4;4;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
s218402927;DU18;Efter säsong;16;7;9;4;0;4,00000000000000;5,00000000000000;4,00000000000000;4,33333333333333;5,33333333333333;NA;NA;NA;NA;NA;NA;3;5;4;5;5;5;5;3;4;5;2;6;6;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
